x,y,z,yaw,velocity,change_flag
-84.4115,21.3257,-1.993,-1.5478,10,0
-84.3737,20.1376,-1.9955,-1.5478,10,0
-84.3589,18.9796,-1.996,-1.5476,10,0
-84.3238,17.8011,-1.9893,-1.5475,10,0
-84.3109,16.6071,-1.9946,-1.5471,10,0
-84.271,15.4459,-1.9961,-1.5473,10,0
-84.2524,14.2648,-1.9938,-1.5474,10,0
-84.208,13.1021,-2.0426,-1.5472,10,0
-84.2113,11.9247,-1.9855,-1.5466,10,0
-84.1822,10.7396,-1.9929,-1.5462,10,0
-84.1298,9.5641,-1.9933,-1.5462,10,0
-84.0999,8.4099,-1.9909,-1.5458,10,0
-84.0845,7.2258,-1.9888,-1.5459,10,0
-84.0341,6.0396,-2.0025,-1.5455,10,0
-84.0124,4.8896,-2.0011,-1.5457,10,0
-83.9916,3.7056,-1.9973,-1.5454,10,0
-83.9656,2.5418,-1.9911,-1.5455,10,0
-83.9299,1.3586,-1.9947,-1.5456,10,0
-83.905,0.1814,-1.991,-1.5453,10,0
-83.8646,-1.003,-1.9913,-1.5455,10,0
-83.8374,-2.1517,-1.9895,-1.5456,10,0
-83.8198,-3.3365,-1.9944,-1.5453,10,0
-83.7893,-4.5059,-1.9929,-1.5453,10,0
-83.7456,-5.7106,-1.9965,-1.5456,10,0
-83.7209,-6.857,-1.9944,-1.5455,10,0
-83.6772,-8.0388,-1.9935,-1.5457,10,0
-83.6658,-9.1962,-1.9939,-1.5454,10,0
-83.6384,-10.3579,-1.995,-1.5454,10,0
-83.6137,-11.5307,-1.9989,-1.5454,10,0
-83.5775,-12.7092,-1.9971,-1.5454,10,0
-83.5454,-13.894,-1.9981,-1.5458,10,0
-83.5292,-15.0626,-2.0058,-1.5459,10,0
-83.4874,-16.2304,-2.0034,-1.546,10,0
-83.4688,-17.3938,-1.915,-1.5456,10,0
-83.4391,-18.5663,-2.0675,-1.546,10,0
-83.3979,-19.7489,-2.0512,-1.5459,10,0
-83.3895,-20.9301,-1.9783,-1.5453,10,0
-83.353,-22.1307,-2.0521,-1.545,10,0
-83.3308,-23.3037,-1.9966,-1.5446,10,0
-83.2989,-24.4602,-1.9957,-1.5445,10,0
-83.2597,-25.6201,-2.0064,-1.5442,10,0
-83.2288,-26.8247,-2.012,-1.5439,10,0
-83.2,-27.9316,-2.0085,-1.5437,10,0
-83.178,-29.1604,-2.0034,-1.5435,10,0
-83.1319,-30.2873,-1.9951,-1.5441,10,0
-83.1047,-31.4189,-2.0037,-1.5439,10,0
-83.0651,-32.6011,-2.0075,-1.5444,10,0
-83.049,-33.8497,-2.0046,-1.5437,10,0
-83.0105,-35.014,-2.003,-1.5441,10,0
-82.9791,-36.1825,-2.0038,-1.544,10,0
-82.9501,-37.3798,-2.0033,-1.5439,10,0
-82.9158,-38.5226,-2.0002,-1.5439,10,0
-82.8886,-39.6483,-2.0023,-1.5438,10,0
-82.8498,-40.8179,-2.0047,-1.5439,10,0
-82.815,-42.0244,-1.9994,-1.5439,10,0
-82.7879,-43.1857,-2.0005,-1.5438,10,0
-82.7563,-44.2815,-2.0038,-1.544,10,0
-82.7248,-45.4342,-2.0038,-1.544,10,0
-82.6965,-46.6402,-2.0069,-1.544,10,0
-82.6642,-47.8288,-2.0034,-1.5441,10,0
-82.631,-48.975,-2.0029,-1.5442,10,0
-82.6004,-50.1123,-2.0027,-1.5443,10,0
-82.5707,-51.3104,-2.0007,-1.5444,10,0
-82.5382,-52.442,-1.9977,-1.5445,10,0
-82.5068,-53.601,-1.9966,-1.5454,10,0
-82.4799,-54.7707,-1.9965,-1.5471,10,0
-82.4551,-55.9803,-1.9957,-1.5488,10,0
-82.4262,-57.105,-1.9945,-1.552,10,0
-82.4038,-58.2306,-1.9936,-1.5554,10,0
-82.3885,-59.4225,-1.9978,-1.5625,10,0
-82.3933,-60.5234,-1.9933,-1.5738,10,0
-82.4044,-61.7139,-1.9899,-1.5885,10,0
-82.4321,-62.9716,-1.993,-1.5987,10,0
-82.4734,-64.2769,-1.9889,-1.6052,10,0
-82.5207,-65.6544,-1.9909,-1.6088,10,0
-82.5825,-67.1071,-1.9945,-1.6106,10,0
-82.632,-68.5564,-1.9946,-1.6118,10,0
-82.7013,-69.9572,-1.9971,-1.613,10,0
-82.7538,-71.3919,-1.9922,-1.6136,10,0
-82.8157,-72.8089,-1.995,-1.6145,10,0
-82.8817,-74.2567,-1.9951,-1.6141,10,0
-82.9368,-75.7076,-1.9953,-1.6136,10,0
-83.0101,-77.1321,-1.9944,-1.614,10,0
-83.0665,-78.5691,-1.9952,-1.614,10,0
-83.1233,-79.9869,-1.9957,-1.6137,10,0
-83.1878,-81.4152,-1.9958,-1.6139,10,0
-83.2555,-82.8654,-1.9959,-1.614,10,0
-83.3147,-84.303,-1.9952,-1.6141,10,0
-83.3758,-85.7234,-1.9947,-1.614,10,0
-83.4409,-87.1558,-1.9933,-1.6139,10,0
-83.5031,-88.6325,-1.9943,-1.6138,10,0
-83.5561,-90.0198,-1.9945,-1.6137,10,0
-83.6315,-91.4614,-1.9937,-1.614,10,0
-83.6838,-92.9056,-1.9937,-1.6138,10,0
-83.7455,-94.3296,-1.9969,-1.6138,10,0
-83.8083,-95.7825,-1.9937,-1.6141,10,0
-83.8708,-97.1986,-1.9951,-1.6152,10,0
-83.9376,-98.6309,-1.997,-1.6154,10,0
-83.993,-100.0607,-1.9948,-1.6168,10,0
-84.0685,-101.4928,-1.9934,-1.6186,10,0
-84.1312,-102.9415,-1.9941,-1.6184,10,0
-84.199,-104.3526,-1.9929,-1.6176,10,0
-84.2657,-105.802,-1.9985,-1.6173,10,0
-84.3255,-107.2338,-1.9958,-1.6154,10,0
-84.3888,-108.6745,-1.9936,-1.6132,10,0
-84.4519,-110.0992,-1.9968,-1.6109,10,0
-84.5096,-111.5486,-1.9973,-1.6099,10,0
-84.5664,-112.9683,-1.998,-1.61,10,0
-84.6283,-114.4024,-2.0003,-1.6097,10,0
-84.6764,-115.8288,-1.9961,-1.6089,10,0
-84.7438,-117.2679,-1.9946,-1.6076,10,0
-84.7926,-118.6982,-1.999,-1.6078,10,0
-84.8468,-120.1274,-1.9952,-1.6066,10,0
-84.8989,-121.576,-1.9993,-1.6067,10,0
-84.9504,-123.0012,-1.9956,-1.6067,10,0
-85.0072,-124.4432,-1.9945,-1.6063,10,0
-85.054,-125.8611,-1.9933,-1.606,10,0
-85.1016,-127.3006,-1.9975,-1.6057,10,0
-85.1467,-128.7307,-1.999,-1.6051,10,0
-85.2004,-130.1798,-1.9955,-1.6039,10,0
-85.2478,-131.599,-2.0005,-1.6037,10,0
-85.2986,-133.0128,-1.9982,-1.6023,10,0
-85.3409,-134.4435,-1.9971,-1.6013,10,0
-85.3814,-135.84,-1.9932,-1.5963,10,0
-85.4053,-137.2514,-2.0043,-1.5862,10,0
-85.4139,-138.6673,-1.9991,-1.5719,10,0
-85.4091,-140.0764,-1.9969,-1.5555,10,0
-85.3705,-141.4814,-1.9983,-1.5441,10,0
-85.3251,-142.9035,-1.9959,-1.5356,10,0
-85.2741,-144.3146,-1.9974,-1.5289,10,0
-85.2138,-145.7394,-2.0013,-1.5256,10,0
-85.1417,-147.1453,-1.995,-1.5224,10,0
-85.0781,-148.5554,-1.9923,-1.5206,10,0
-85.008,-149.9712,-2.0005,-1.5198,10,0
-84.9376,-151.3737,-1.9951,-1.5191,10,0
-84.864,-152.7946,-1.9911,-1.5184,10,0
-84.7923,-154.1968,-1.9989,-1.5179,10,0
-84.7124,-155.6142,-1.999,-1.5177,10,0
-84.6326,-157.0276,-1.9975,-1.5173,10,0
-84.5632,-158.4333,-1.994,-1.5172,10,0
-84.4898,-159.8591,-1.9943,-1.5171,10,0
-84.4136,-161.2659,-1.9978,-1.5166,10,0
-84.3311,-162.6708,-2.0013,-1.5101,10,0
-84.2378,-164.0814,-1.9931,-1.502,10,0
-84.133,-165.4885,-1.9957,-1.4937,10,0
-84.0131,-166.9015,-1.9996,-1.4827,10,0
-83.8907,-168.3018,-1.9952,-1.4706,10,0
-83.7347,-169.7086,-1.9943,-1.4527,10,0
-83.5512,-171.1032,-2.0009,-1.4365,10,0
-83.3597,-172.5028,-2.0025,-1.4205,10,0
-83.1198,-173.8913,-2.0012,-1.4009,10,0
-82.8731,-175.2659,-2.0088,-1.3824,10,0
-82.6057,-176.6695,-2.0075,-1.3717,10,0
-82.314,-178.0527,-2.0034,-1.3646,10,0
-82.0336,-179.4365,-2.003,-1.3601,10,0
-81.7283,-180.805,-2.0093,-1.3571,10,0
-81.4259,-182.2213,-2.0059,-1.3548,10,0
-81.1266,-183.5799,-2.0098,-1.3541,10,0
-80.8275,-184.9723,-2.009,-1.3539,10,0
-80.5202,-186.3348,-1.9997,-1.3532,10,0
-80.2126,-187.7045,-2.0045,-1.3534,10,0
-79.8991,-189.1198,-2.0047,-1.353,10,0
-79.6043,-190.4915,-2,-1.3533,10,0
-79.2993,-191.8609,-2.0037,-1.3527,10,0
-78.9929,-193.2309,-2.0052,-1.3524,10,0
-78.7053,-194.5533,-2.0004,-1.3526,10,0
-78.393,-195.8928,-2.0008,-1.351,10,0
-78.0985,-197.2126,-2.0063,-1.3475,10,0
-77.8079,-198.5589,-2.0091,-1.3367,10,0
-77.4616,-199.8709,-2.0059,-1.3155,10,0
-77.0986,-201.206,-2.0061,-1.2858,10,0
-76.7045,-202.5053,-2.0104,-1.2558,10,0
-76.2269,-203.7871,-2.0079,-1.2271,10,0
-75.7613,-205.0769,-2.0053,-1.2062,10,0
-75.2679,-206.3427,-1.998,-1.1796,10,0
-74.7323,-207.5849,-2.0008,-1.1525,10,0
-74.1431,-208.7794,-1.9993,-1.1121,10,0
-73.4558,-210.0582,-2.0021,-1.0724,10,0
-72.8448,-211.1572,-2.0081,-1.0373,10,0
-72.0748,-212.352,-2.0062,-0.9975,10,0
-71.2997,-213.4725,-1.9969,-0.9581,10,0
-70.5253,-214.5334,-1.9957,-0.9118,10,0
-69.6659,-215.5961,-1.9974,-0.8507,10,0
-68.6971,-216.6122,-2.005,-0.79,10,0
-67.726,-217.5146,-2,-0.7433,10,0
-66.683,-218.4251,-1.9954,-0.7048,10,0
-65.6439,-219.2845,-1.9972,-0.6642,10,0
-64.4846,-220.148,-1.9933,-0.6219,10,0
-63.3599,-220.8578,-2.001,-0.5813,10,0
-62.1975,-221.6071,-1.9957,-0.5485,10,0
-60.9544,-222.3066,-2,-0.5164,10,0
-59.7702,-222.9477,-1.9998,-0.4866,10,0
-58.5356,-223.5798,-1.9954,-0.445,10,0
-57.3467,-224.1362,-2.0012,-0.4033,10,0
-56.0223,-224.6385,-1.9992,-0.3545,10,0
-54.7814,-225.1024,-2.011,-0.3076,10,0
-53.4349,-225.4837,-2.0009,-0.2557,10,0
-52.0786,-225.786,-2.0013,-0.2087,10,0
-50.7659,-226.0401,-1.9978,-0.1534,10,0
-49.4281,-226.2276,-1.9969,-0.1164,10,0
-47.9909,-226.3224,-2.0059,-0.0728,10,0
-46.5993,-226.3861,-1.9939,-0.0245,10,0
-45.1997,-226.3855,-2.0005,0.0155,10,0
-43.8052,-226.3246,-1.9352,0.0453,10,0
-42.3646,-226.2841,-2.0039,0.062,10,0
-40.9357,-226.1827,-2.0028,0.069,10,0
-39.5251,-226.0969,-2.0033,0.074,10,0
-38.1078,-225.9556,-1.9994,0.0801,10,0
-36.6479,-225.8417,-1.9944,0.0958,10,0
-35.3231,-225.6992,-1.9921,0.1195,10,0
-33.8681,-225.5209,-1.9922,0.1509,10,0
-32.4357,-225.2825,-1.9942,0.1781,10,0
-31.0255,-225.0043,-2.0047,0.2044,10,0
-29.6584,-224.7216,-2.0069,0.2259,10,0
-28.2449,-224.3557,-2.0009,0.2526,10,0
-26.8906,-223.9957,-1.9971,0.2765,10,0
-25.509,-223.5996,-2.0041,0.3023,10,0
-24.1817,-223.1696,-2.0036,0.3268,10,0
-22.8167,-222.6819,-2.0021,0.3484,10,0
-21.41,-222.1322,-1.9473,0.3661,10,0
-20.1203,-221.6273,-2.0687,0.3766,10,0
-18.7618,-221.1139,-2.0265,0.3791,10,0
-17.4334,-220.5908,-2.0396,0.3888,10,0
-16.1556,-220.0148,-1.9925,0.3976,10,0
-14.7687,-219.4893,-2.0409,0.4145,10,0
-13.5363,-218.8424,-1.9912,0.426,10,0
-12.1902,-218.2499,-1.9937,0.4448,10,0
-10.9393,-217.6278,-1.9506,0.4653,10,0
